Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,K6SNYR,145.17,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,,,,,
2,K6SNYS,145.17,,0,Tone,94.8,88.5,23,NN,FM,5,,,,,,
3,TAC A,147.405,,0,,88.5,88.5,23,NN,FM,5,,,,,,
4,TAC B,146.415,,0,,88.5,88.5,23,NN,FM,5,,,,,,
5,TAC C,147.585,,0,,88.5,88.5,23,NN,FM,5,,,,,,
6,TAC D,446,,0,,88.5,88.5,23,NN,FM,5,,,,,,
7,TAC E,446.5,,0,,88.5,88.5,23,NN,FM,5,,,,,,
8,K6SNYR,443.275,+,5,Tone,107.2,88.5,23,NN,FM,5,,,,,,
9,K6SNYS,443.275,,0,Tone,107.2,88.5,23,NN,FM,5,,,,,,
10,WW6HPR,442,+,5,Tone,151.4,88.5,23,NN,FM,5,,,,,,
11,WW6HPS,442,,0,Tone,151.4,88.5,23,NN,FM,5,,,,,,
12,K6SNYr,444.525,+,5,Tone,94.8,88.5,23,NN,FM,5,,,,,,
13,K6SNYs,444.525,,0,Tone,94.8,88.5,23,NN,FM,5,,,,,,
19,XSCMNR,442.575,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
20,SPECSR,145.27,-,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
21,SPECSS,145.27,,0,Tone,100,88.5,23,NN,FM,5,,,,,,
22,SVECSR,146.115,+,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
23,SVECSS,146.115,,0,,88.5,88.5,23,NN,FM,5,,,,,,
24,XSCMNR,147.36,+,0.6,Tone,110.9,88.5,23,NN,FM,5,,,,,,
25,XSCMNS,147.36,,0,,88.5,88.5,23,NN,FM,5,,,,,,
26,XSCMNR,145.45,-,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
27,XSCCNR,442.5,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
28,XSCCNS,442.5,,0,,88.5,88.5,23,NN,FM,5,,,,,,
29,SNC S,147.51,,0,Tone,100,88.5,23,NN,FM,5,,,,,,
30,SNC A,146.58,,0,,88.5,88.5,23,NN,FM,5,,,,,,
31,CUP S,147.57,,0,Tone,151.4,88.5,23,NN,FM,5,,,,,,
32,CUP A,146.46,,0,Tone,151.4,88.5,23,NN,FM,5,,,,,,
33,MTV S,146.535,,0,,88.5,88.5,23,NN,FM,5,,,,,,
34,MTV A,147.495,,0,,88.5,88.5,23,NN,FM,5,,,,,,
35,LOS R,145.27,-,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
36,MTV R,440.8,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
37,LOS S,146.595,,0,,88.5,88.5,23,NN,FM,5,,,,,,
38,HOSPR,145.23,-,0.6,Tone,100,88.5,23,NN,FM,5,,,,,,
39,XSCRUR,444.625,,0,Tone,110.9,88.5,23,NN,FM,5,,,,,,
40,PRI PKT,145.75,,0,,88.5,88.5,23,NN,FM,5,,,,,,
41,SEC PKT,144.31,,0,,88.5,88.5,23,NN,FM,5,,,,,,
42,S CNTY,145.73,,0,,88.5,88.5,23,NN,FM,5,,,,,,
43,MILP,145.69,,0,,88.5,88.5,23,NN,FM,5,,,,,,
44,K6SNY-1,144.91,,0,,88.5,88.5,23,NN,FM,5,,,,,,
